id,titleNat,titleRom,artists,releaseDate,catalog,subtitle,parent
12000,僕らのLIVE 君とのLIFE,Bokura no LIVE Kimi to no LIFE,11050,2010-08-25,LACM-4738,1st Single,otonokizaka
12001,Snow halation,,11050,2010-12-22,LACM-4774,2nd Single,otonokizaka
12002,Love marginal,,11051,2011-05-25,LACM-4812,1st Single,otonokizaka
12003,ダイヤモンドプリンセスの憂鬱,Diamond Princess no Yuuutsu,11052,2011-06-22,LACM-4816,1st Single,otonokizaka
12004,知らないLove*教えてLove,Shiranai Love*Oshiete Love,11053,2011-07-27,LACM-4832,1st Single,otonokizaka
12005,"夏色えがおで1,2,Jump!","Natsuiro Egao de 1,2,Jump!",11050,2011-08-24,LACM-4845,3rd Single,otonokizaka
